Date,Exercise,Category,Sets,Avg_Reps,Max_Weight,Session_Max_1RM,Days_Since_Last,Previous_1RM
2025-04-04,Ab Crunch Machine,Abs,1,11.0,100.0,136.6,14.0,136.6
2025-10-06,Assisted Pull Up,Back,3,7.0,75.0,90.0,14.0,90.0
2025-10-08,Assisted Pull Up,Back,3,10.7,70.0,98.0,2.0,90.0
2025-10-30,Assisted Pull Up,Back,3,7.7,70.0,86.3,22.0,98.0
2025-11-13,Assisted Pull Up,Back,3,8.7,60.0,84.0,14.0,86.3
2026-01-04,Assisted Pull Up,Back,3,10.3,60.0,84.0,52.0,84.0
2026-01-20,Assisted Pull Up,Back,2,8.5,60.0,84.0,16.0,84.0
2026-03-05,Assisted Pull Up,Back,3,7.0,60.0,76.0,44.0,84.0
2026-03-10,Assisted Pull Up,Back,3,7.3,60.0,78.0,5.0,76.0
2026-04-01,Assisted Pull Up,Back,3,6.3,60.0,74.0,22.0,78.0
2025-04-04,Back Extension,Back,3,14.0,125.0,187.4,14.0,187.4
2025-04-11,Back Extension,Back,3,12.3,120.0,179.9,7.0,187.4
2026-01-02,Back Extension,Back,4,11.8,120.0,150.0,266.0,179.9
2026-01-13,Back Extension,Back,3,15.0,105.0,157.4,11.0,150.0
2026-01-22,Back Extension,Back,3,15.0,105.0,157.4,9.0,157.4
2026-03-06,Back Extension,Back,3,15.0,105.0,157.4,43.0,157.4
2026-03-11,Back Extension,Back,3,14.0,110.0,164.9,5.0,157.4
2025-08-26,Barbell Squat,Legs,3,9.3,80.0,101.3,14.0,101.3
2025-09-06,Barbell Squat,Legs,3,10.0,80.0,106.6,11.0,101.3
2025-09-26,Barbell Squat,Legs,3,10.7,90.0,119.0,20.0,106.6
2025-09-29,Barbell Squat,Legs,3,10.0,100.0,133.0,3.0,119.0
2025-10-03,Barbell Squat,Legs,3,10.0,100.0,129.8,4.0,133.0
2025-10-13,Barbell Squat,Legs,3,9.7,105.0,136.5,10.0,129.8
2025-10-20,Barbell Squat,Legs,3,10.0,105.0,140.0,7.0,136.5
2025-11-03,Barbell Squat,Legs,3,10.0,110.0,146.6,14.0,140.0
2025-12-17,Barbell Squat,Legs,4,8.5,115.0,153.3,44.0,146.6
2025-12-22,Barbell Squat,Legs,4,9.0,120.0,160.0,5.0,153.3
2026-01-02,Barbell Squat,Legs,4,10.0,120.0,160.0,11.0,160.0
2026-01-04,Barbell Squat,Legs,3,7.0,110.0,146.6,2.0,160.0
2026-01-13,Barbell Squat,Legs,4,10.0,120.0,160.0,9.0,146.6
2026-01-20,Barbell Squat,Legs,4,7.8,110.0,139.3,7.0,160.0
2026-01-22,Barbell Squat,Legs,4,8.2,120.0,160.0,2.0,139.3
2026-03-06,Barbell Squat,Legs,4,7.0,105.0,129.5,43.0,160.0
2026-03-11,Barbell Squat,Legs,4,9.8,105.0,140.0,5.0,129.5
2026-01-02,Cable Face Pull,Shoulders,3,18.0,12.5,20.8,14.0,20.8
2026-01-13,Cable Face Pull,Shoulders,3,20.0,12.5,20.8,11.0,20.8
2026-01-22,Cable Face Pull,Shoulders,3,20.0,17.5,29.2,9.0,20.8
2025-08-25,Cable Overhead Triceps Extension,Triceps,3,6.0,40.0,49.3,14.0,49.3
2025-09-05,Cable Overhead Triceps Extension,Triceps,3,5.3,40.0,50.7,11.0,49.3
2025-09-08,Cable Overhead Triceps Extension,Triceps,3,5.0,45.0,52.5,3.0,50.7
2025-09-22,Cable Overhead Triceps Extension,Triceps,4,5.5,40.0,50.7,14.0,52.5
2025-09-26,Cable Overhead Triceps Extension,Triceps,3,5.7,45.0,57.0,4.0,50.7
2025-10-02,Cable Overhead Triceps Extension,Triceps,3,4.7,42.5,52.4,6.0,57.0
2025-10-08,Cable Overhead Triceps Extension,Triceps,5,4.0,35.0,44.3,6.0,52.4
2025-10-13,Cable Overhead Triceps Extension,Triceps,3,6.7,37.5,46.2,5.0,44.3
2025-10-20,Cable Overhead Triceps Extension,Triceps,3,8.3,20.0,27.3,7.0,46.2
2025-11-03,Cable Overhead Triceps Extension,Triceps,3,7.0,30.0,38.0,14.0,27.3
2025-11-11,Cable Overhead Triceps Extension,Triceps,3,8.0,27.5,36.7,8.0,38.0
2025-11-18,Cable Overhead Triceps Extension,Triceps,3,5.7,30.0,36.0,7.0,36.7
2025-12-04,Cable Overhead Triceps Extension,Triceps,5,6.8,30.0,40.0,16.0,36.0
2025-12-12,Cable Overhead Triceps Extension,Triceps,4,5.2,35.0,44.3,8.0,40.0
2026-03-04,Cable Overhead Triceps Extension,Triceps,3,12.0,25.0,35.0,82.0,44.3
2026-03-08,Cable Overhead Triceps Extension,Triceps,5,3.6,30.0,36.0,4.0,35.0
2026-03-22,Cable Overhead Triceps Extension,Triceps,5,5.6,25.0,33.3,14.0,36.0
2025-04-11,Dumbbell Curl,Biceps,3,6.7,25.0,34.2,14.0,34.2
2025-08-25,Dumbbell Curl,Biceps,3,4.3,25.0,29.2,136.0,34.2
2025-09-05,Dumbbell Curl,Biceps,3,5.3,25.0,31.7,11.0,29.2
2025-09-08,Dumbbell Curl,Biceps,3,4.7,25.0,31.7,3.0,31.7
2025-09-22,Dumbbell Curl,Biceps,3,2.7,25.0,29.2,14.0,31.7
2025-09-26,Dumbbell Curl,Biceps,3,4.0,25.0,30.8,4.0,29.2
2025-09-29,Dumbbell Curl,Biceps,3,4.0,25.0,30.8,3.0,30.8
2025-10-02,Dumbbell Curl,Biceps,3,8.0,20.0,26.7,3.0,30.8
2025-10-06,Dumbbell Curl,Biceps,3,10.0,20.0,28.0,4.0,26.7
2025-10-30,Dumbbell Curl,Biceps,2,4.0,25.0,30.0,24.0,28.0
2025-11-07,Dumbbell Curl,Biceps,2,4.5,25.0,30.8,8.0,30.0
2025-11-13,Dumbbell Curl,Biceps,3,5.7,25.0,31.7,6.0,30.8
2025-12-01,Dumbbell Curl,Biceps,3,6.7,25.0,31.7,18.0,31.7
2025-12-04,Dumbbell Curl,Biceps,5,6.4,25.0,33.3,3.0,31.7
2025-12-12,Dumbbell Curl,Biceps,3,8.0,25.0,33.3,8.0,33.3
2026-03-05,Dumbbell Curl,Biceps,3,6.3,25.0,30.0,83.0,33.3
2026-03-10,Dumbbell Curl,Biceps,3,6.0,25.0,32.5,5.0,30.0
2026-04-01,Dumbbell Curl,Biceps,3,5.3,25.0,31.7,22.0,32.5
2025-12-17,EZ-Bar Reverse Curl,Arms,3,6.3,45.0,57.0,14.0,57.0
2025-12-22,EZ-Bar Reverse Curl,Arms,3,6.3,45.0,60.0,5.0,57.0
2026-03-10,EZ-Bar Reverse Curl,Arms,3,4.7,30.0,36.0,78.0,60.0
2026-04-01,EZ-Bar Reverse Curl,Arms,3,4.0,30.0,35.0,22.0,36.0
2025-08-25,Flat Barbell Bench Press,Chest,3,5.3,95.0,120.3,14.0,120.3
2025-09-05,Flat Barbell Bench Press,Chest,4,3.5,95.0,107.7,11.0,120.3
2025-09-08,Flat Barbell Bench Press,Chest,4,4.2,105.0,122.5,3.0,107.7
2025-09-22,Flat Barbell Bench Press,Chest,3,5.0,105.0,126.0,14.0,122.5
2025-09-26,Flat Barbell Bench Press,Chest,5,3.6,105.0,119.0,4.0,126.0
2025-09-29,Flat Barbell Bench Press,Chest,3,5.7,105.0,133.0,3.0,119.0
2025-10-02,Flat Barbell Bench Press,Chest,3,6.0,105.0,133.0,3.0,133.0
2025-10-08,Flat Barbell Bench Press,Chest,3,6.0,105.0,133.0,6.0,133.0
2025-10-20,Flat Barbell Bench Press,Chest,3,4.7,105.0,126.0,12.0,133.0
2025-10-30,Flat Barbell Bench Press,Chest,3,6.3,105.0,133.0,10.0,126.0
2025-11-07,Flat Barbell Bench Press,Chest,3,6.3,105.0,133.0,8.0,133.0
2025-11-13,Flat Barbell Bench Press,Chest,3,7.0,105.0,133.0,6.0,133.0
2025-11-18,Flat Barbell Bench Press,Chest,3,7.3,105.0,136.5,5.0,133.0
2025-12-01,Flat Barbell Bench Press,Chest,3,5.3,105.0,129.5,13.0,136.5
2025-12-04,Flat Barbell Bench Press,Chest,3,4.7,105.0,129.5,3.0,129.5
2025-12-12,Flat Barbell Bench Press,Chest,3,7.0,105.0,136.5,8.0,129.5
2025-12-17,Flat Barbell Bench Press,Chest,4,6.5,110.0,135.6,5.0,136.5
2025-12-22,Flat Barbell Bench Press,Chest,4,6.2,110.0,132.0,5.0,135.6
2026-01-02,Flat Barbell Bench Press,Chest,4,7.0,110.0,135.6,11.0,132.0
2026-01-13,Flat Barbell Bench Press,Chest,4,7.2,110.0,139.3,11.0,135.6
2026-03-04,Flat Barbell Bench Press,Chest,4,6.5,100.0,123.3,50.0,139.3
2026-03-08,Flat Barbell Bench Press,Chest,4,7.5,100.0,126.6,4.0,123.3
2026-03-22,Flat Barbell Bench Press,Chest,4,7.2,100.0,126.6,14.0,126.6
2025-09-12,Flat Dumbbell Bench Press,Chest,2,8.5,30.0,40.0,14.0,40.0
2025-10-06,Flat Dumbbell Bench Press,Chest,3,10.0,30.0,42.0,24.0,40.0
2026-01-22,Flat Dumbbell Bench Press,Chest,3,9.3,30.0,40.0,108.0,42.0
2025-10-13,Hanging Leg Raise,Abs,3,7.3,0.0,0.0,14.0,0.0
