Date,Exercise,Category,Weight,Weight Unit,Reps,Distance,Distance Unit,Time,Comment
2025-04-04,Back Extension,Back,120.0,lbs,15,,,,""
2025-04-04,Back Extension,Back,125.0,lbs,15,,,,""
2025-04-04,Back Extension,Back,120.0,lbs,12,,,,""
2025-04-04,Rotary Torso,Back,70.0,lbs,15,,,,""
2025-04-04,Ab Crunch Machine,Abs,100.0,lbs,11,,,,""
2025-04-11,Lat Pulldown,Back,90.0,lbs,12,,,,""
2025-04-11,Lat Pulldown,Back,90.0,lbs,7,,,,""
2025-04-11,Lat Pulldown,Back,90.0,lbs,7,,,,""
2025-04-11,Back Extension,Back,120.0,lbs,15,,,,""
2025-04-11,Back Extension,Back,120.0,lbs,11,,,,""
2025-04-11,Back Extension,Back,120.0,lbs,11,,,,""
2025-04-11,Dumbbell Curl,Biceps,25.0,lbs,11,,,,""
2025-04-11,Dumbbell Curl,Biceps,25.0,lbs,6,,,,""
2025-04-11,Dumbbell Curl,Biceps,25.0,lbs,3,,,,""
2025-08-25,Flat Barbell Bench Press,Chest,95.0,lbs,8,,,,""
2025-08-25,Flat Barbell Bench Press,Chest,95.0,lbs,5,,,,""
2025-08-25,Flat Barbell Bench Press,Chest,95.0,lbs,3,,,,""
2025-08-25,Cable Overhead Triceps Extension,Triceps,40.0,lbs,7,,,,""
2025-08-25,Cable Overhead Triceps Extension,Triceps,40.0,lbs,6,,,,""
2025-08-25,Cable Overhead Triceps Extension,Triceps,40.0,lbs,5,,,,""
2025-08-25,Lat Pulldown,Back,70.0,lbs,10,,,,""
2025-08-25,Lat Pulldown,Back,85.0,lbs,7,,,,""
2025-08-25,Lat Pulldown,Back,85.0,lbs,4,,,,""
2025-08-25,Dumbbell Curl,Biceps,25.0,lbs,5,,,,""
2025-08-25,Dumbbell Curl,Biceps,25.0,lbs,3,,,,""
2025-08-25,Dumbbell Curl,Biceps,15.0,lbs,5,,,,""
2025-08-26,Barbell Squat,Legs,75.0,lbs,10,,,,""
2025-08-26,Barbell Squat,Legs,75.0,lbs,10,,,,"12 height, 4 guard"
2025-08-26,Barbell Squat,Legs,80.0,lbs,8,,,,"Pull hips in and push chest out"
2025-09-05,Flat Barbell Bench Press,Chest,95.0,lbs,4,,,,""
2025-09-05,Flat Barbell Bench Press,Chest,95.0,lbs,3,,,,""
2025-09-05,Flat Barbell Bench Press,Chest,90.0,lbs,4,,,,""
2025-09-05,Flat Barbell Bench Press,Chest,90.0,lbs,3,,,,""
2025-09-05,Cable Overhead Triceps Extension,Triceps,40.0,lbs,8,,,,""
2025-09-05,Cable Overhead Triceps Extension,Triceps,40.0,lbs,4,,,,""
2025-09-05,Cable Overhead Triceps Extension,Triceps,40.0,lbs,4,,,,""
2025-09-05,Dumbbell Curl,Biceps,25.0,lbs,8,,,,""
2025-09-05,Dumbbell Curl,Biceps,25.0,lbs,4,,,,""
2025-09-05,Pull Up,Back,0.0,lbs,3,,,,""
2025-09-05,Pull Up,Back,0.0,lbs,2,,,,""
2025-09-05,Dumbbell Curl,Biceps,25.0,lbs,4,,,,""
2025-09-06,Barbell Squat,Legs,75.0,lbs,10,,,,""
2025-09-06,Barbell Squat,Legs,75.0,lbs,10,,,,""
2025-09-06,Barbell Squat,Legs,80.0,lbs,10,,,,""
2025-09-06,Seated Leg Curl Machine,Legs,40.0,lbs,4,,,,"Did it wrong"
2025-09-06,Seated Leg Curl Machine,Legs,30.0,lbs,4,,,,"Unsure if form is right"
2025-09-06,Seated Leg Curl Machine,Legs,30.0,lbs,8,,,,""
2025-09-06,Seated Leg Curl Machine,Legs,30.0,lbs,20,,,,""
2025-09-08,Flat Barbell Bench Press,Chest,100.0,lbs,6,,,,""
2025-09-08,Flat Barbell Bench Press,Chest,105.0,lbs,5,,,,""
2025-09-08,Flat Barbell Bench Press,Chest,105.0,lbs,3,,,,""
2025-09-08,Flat Barbell Bench Press,Chest,100.0,lbs,3,,,,""
2025-09-08,Dumbbell Curl,Biceps,25.0,lbs,8,,,,"Gripping hard and going to complete peak now"
2025-09-08,Dumbbell Curl,Biceps,25.0,lbs,3,,,,""
2025-09-08,Lat Pulldown,Back,85.0,lbs,5,,,,"Too heavy, reducing weight to ensure proper form"
2025-09-08,Lat Pulldown,Back,75.0,lbs,10,,,,""
2025-09-08,Lat Pulldown,Back,75.0,lbs,6,,,,"Form is starting to be weird"
2025-09-08,Cable Overhead Triceps Extension,Triceps,45.0,lbs,5,,,,"Arms are wider out with a completely straight bar, significantly more challenging"
2025-09-08,Cable Overhead Triceps Extension,Triceps,40.0,lbs,6,,,,""
2025-09-08,Cable Overhead Triceps Extension,Triceps,40.0,lbs,4,,,,""
2025-09-08,Dumbbell Curl,Biceps,25.0,lbs,3,,,,""
2025-09-08,Lat Pulldown,Back,75.0,lbs,5,,,,""
2025-09-12,Flat Dumbbell Bench Press,Chest,30.0,lbs,10,,,,""
2025-09-12,Flat Dumbbell Bench Press,Chest,30.0,lbs,7,,,,""
2025-09-22,Flat Barbell Bench Press,Chest,105.0,lbs,6,,,,""
2025-09-22,Flat Barbell Bench Press,Chest,105.0,lbs,5,,,,""
2025-09-22,Flat Barbell Bench Press,Chest,105.0,lbs,4,,,,""
2025-09-22,Lat Pulldown,Back,85.0,lbs,6,,,,"Not ideal form"
2025-09-22,Lat Pulldown,Back,75.0,lbs,9,,,,"Forearms tired first"
2025-09-22,Lat Pulldown,Back,75.0,lbs,8,,,,"Mainly forearms tiring"
2025-09-22,Lat Pulldown,Back,75.0,lbs,4,,,,""
2025-09-22,Dumbbell Curl,Biceps,25.0,lbs,5,,,,""
2025-09-22,Dumbbell Curl,Biceps,25.0,lbs,2,,,,""
2025-09-22,Dumbbell Curl,Biceps,25.0,lbs,1,,,,""
2025-09-22,Cable Overhead Triceps Extension,Triceps,40.0,lbs,8,,,,""
2025-09-22,Cable Overhead Triceps Extension,Triceps,40.0,lbs,6,,,,""
2025-09-22,Cable Overhead Triceps Extension,Triceps,40.0,lbs,4,,,,""
2025-09-22,Cable Overhead Triceps Extension,Triceps,40.0,lbs,4,,,,""
2025-09-26,Barbell Squat,Legs,80.0,lbs,12,,,,""
2025-09-26,Barbell Squat,Legs,85.0,lbs,12,,,,""
2025-09-26,Barbell Squat,Legs,90.0,lbs,8,,,,""
2025-09-26,Flat Barbell Bench Press,Chest,105.0,lbs,4,,,,""
2025-09-26,Flat Barbell Bench Press,Chest,105.0,lbs,4,,,,""
2025-09-26,Flat Barbell Bench Press,Chest,105.0,lbs,2,,,,"Weight is too high"
2025-09-26,Flat Barbell Bench Press,Chest,95.0,lbs,3,,,,""
2025-09-26,Flat Barbell Bench Press,Chest,45.0,lbs,5,,,,"Trying to make sure my form is okay"
2025-09-26,Lat Pulldown,Back,75.0,lbs,12,,,,""
2025-09-26,Lat Pulldown,Back,85.0,lbs,7,,,,"Forearms got tired"
2025-09-26,Cable Overhead Triceps Extension,Triceps,45.0,lbs,8,,,,""
2025-09-26,Cable Overhead Triceps Extension,Triceps,45.0,lbs,5,,,,""
2025-09-26,Cable Overhead Triceps Extension,Triceps,45.0,lbs,4,,,,""
2025-09-26,Dumbbell Curl,Biceps,25.0,lbs,7,,,,""
2025-09-26,Dumbbell Curl,Biceps,25.0,lbs,3,,,,""
2025-09-26,Dumbbell Curl,Biceps,25.0,lbs,2,,,,""
2025-09-26,Lat Pulldown,Back,85.0,lbs,5,,,,""
2025-09-29,Lat Pulldown,Back,75.0,lbs,12,,,,""
2025-09-29,Lat Pulldown,Back,85.0,lbs,9,,,,""
2025-09-29,Lat Pulldown,Back,85.0,lbs,7,,,,""
2025-09-29,Lat Pulldown,Back,85.0,lbs,5,,,,"Forearms tored first"
2025-09-29,Wrist Curls In,Arms,25.0,lbs,13,,,,"20 left, 13 right"
2025-09-29,Wrist Curls In,Arms,25.0,lbs,10,,,,""
2025-09-29,Wrist Curls In,Arms,25.0,lbs,15,,,,""
2025-09-29,Barbell Squat,Legs,90.0,lbs,12,,,,""
2025-09-29,Barbell Squat,Legs,95.0,lbs,12,,,,""
2025-09-29,Barbell Squat,Legs,100.0,lbs,6,,,,""
2025-09-29,Flat Barbell Bench Press,Chest,105.0,lbs,8,,,,"Possibly could have done 1 or two more"
2025-09-29,Flat Barbell Bench Press,Chest,105.0,lbs,5,,,,""
2025-09-29,Flat Barbell Bench Press,Chest,105.0,lbs,4,,,,""
2025-09-29,Dumbbell Curl,Biceps,25.0,lbs,7,,,,""
2025-09-29,Dumbbell Curl,Biceps,25.0,lbs,3,,,,""
