Date,Exercise,Category,Sets,Avg_Reps,Max_Weight,Session_Max_1RM,Days_Since_Last,Previous_1RM,Last_Avg_Reps
2025-04-04,Ab Crunch Machine,Abs,1,11.0,100.0,136.63,14.0,136.63,8.0
2025-10-06,Assisted Pull Up,Back,3,7.0,75.0,87.10801393728224,14.0,87.10801393728224,8.0
2025-10-08,Assisted Pull Up,Back,3,10.666666666666666,70.0,94.7789384577071,2.0,87.10801393728224,7.0
2025-10-30,Assisted Pull Up,Back,3,7.666666666666667,70.0,86.31700000000001,22.0,94.7789384577071,10.666666666666666
2025-11-13,Assisted Pull Up,Back,3,8.666666666666666,60.0,81.23909010660608,14.0,86.31700000000001,7.666666666666667
2026-01-04,Assisted Pull Up,Back,3,10.333333333333334,60.0,81.23909010660608,52.0,81.23909010660608,8.666666666666666
2026-01-20,Assisted Pull Up,Back,2,8.5,60.0,81.23909010660608,16.0,81.23909010660608,10.333333333333334
2026-03-05,Assisted Pull Up,Back,3,7.0,60.0,75.984,44.0,81.23909010660608,8.5
2026-03-10,Assisted Pull Up,Back,3,7.333333333333333,60.0,77.982,5.0,75.984,7.0
2026-04-01,Assisted Pull Up,Back,3,6.333333333333333,60.0,73.986,22.0,77.982,7.333333333333333
2025-04-04,Back Extension,Back,3,14.0,125.0,177.1490578285489,14.0,177.1490578285489,8.0
2025-04-11,Back Extension,Back,3,12.333333333333334,120.0,170.06309551540696,7.0,177.1490578285489,14.0
2026-01-02,Back Extension,Back,4,11.75,120.0,141.71924626283914,266.0,170.06309551540696,12.333333333333334
2026-01-13,Back Extension,Back,3,15.0,105.0,148.80520857598108,11.0,141.71924626283914,11.75
2026-01-22,Back Extension,Back,3,15.0,105.0,148.80520857598108,9.0,148.80520857598108,15.0
2026-03-06,Back Extension,Back,3,15.0,105.0,148.80520857598108,43.0,148.80520857598108,15.0
2026-03-11,Back Extension,Back,3,14.0,110.0,155.89117088912306,5.0,148.80520857598108,15.0
2025-08-26,Barbell Squat,Legs,3,9.333333333333334,80.0,101.312,14.0,101.312,8.0
2025-09-06,Barbell Squat,Legs,3,10.0,80.0,106.64,11.0,101.312,9.333333333333334
2025-09-26,Barbell Squat,Legs,3,10.666666666666666,90.0,115.08871098435861,20.0,106.64,10.0
2025-09-29,Barbell Squat,Legs,3,10.0,100.0,128.62855933545964,3.0,115.08871098435861,10.666666666666666
2025-10-03,Barbell Squat,Legs,3,10.0,100.0,129.79850000000002,4.0,128.62855933545964,10.0
2025-10-13,Barbell Squat,Legs,3,9.666666666666666,105.0,136.4685,10.0,129.79850000000002,10.0
2025-10-20,Barbell Squat,Legs,3,10.0,105.0,139.965,7.0,136.4685,9.666666666666666
2025-11-03,Barbell Squat,Legs,3,10.0,110.0,146.63,14.0,139.965,10.0
2025-12-17,Barbell Squat,Legs,4,8.5,115.0,153.295,44.0,146.63,10.0
2025-12-22,Barbell Squat,Legs,4,9.0,120.0,159.96,5.0,153.295,8.5
2026-01-02,Barbell Squat,Legs,4,10.0,120.0,159.96,11.0,159.96,9.0
2026-01-04,Barbell Squat,Legs,3,7.0,110.0,146.63,2.0,159.96,10.0
2026-01-13,Barbell Squat,Legs,4,10.0,120.0,159.96,9.0,146.63,7.0
2026-01-20,Barbell Squat,Legs,4,7.75,110.0,139.304,7.0,159.96,10.0
2026-01-22,Barbell Squat,Legs,4,8.25,120.0,159.96,2.0,139.304,7.75
2026-03-06,Barbell Squat,Legs,4,7.0,105.0,129.4755,43.0,159.96,8.25
2026-03-11,Barbell Squat,Legs,4,9.75,105.0,139.965,5.0,129.4755,7.0
2026-01-02,Cable Face Pull,Shoulders,3,18.0,12.5,18.897219238037287,14.0,18.897219238037287,8.0
2026-01-13,Cable Face Pull,Shoulders,3,20.0,12.5,18.897219238037287,11.0,18.897219238037287,18.0
2026-01-22,Cable Face Pull,Shoulders,3,20.0,17.5,26.456106933252205,9.0,18.897219238037287,20.0
2025-08-25,Cable Overhead Triceps Extension,Triceps,3,6.0,40.0,49.324000000000005,14.0,49.324000000000005,8.0
2025-09-05,Cable Overhead Triceps Extension,Triceps,3,5.333333333333333,40.0,50.656,11.0,49.324000000000005,6.0
2025-09-08,Cable Overhead Triceps Extension,Triceps,3,5.0,45.0,50.63006300630063,3.0,50.656,5.333333333333333
2025-09-22,Cable Overhead Triceps Extension,Triceps,4,5.5,40.0,50.656,14.0,50.63006300630063,5.0
2025-09-26,Cable Overhead Triceps Extension,Triceps,3,5.666666666666667,45.0,56.988,4.0,50.656,5.5
2025-10-02,Cable Overhead Triceps Extension,Triceps,3,4.666666666666667,42.5,52.40675,6.0,56.988,5.666666666666667
2025-10-08,Cable Overhead Triceps Extension,Triceps,5,4.0,35.0,44.324,6.0,52.40675,4.666666666666667
2025-10-13,Cable Overhead Triceps Extension,Triceps,3,6.666666666666667,37.5,46.24125,5.0,44.324,4.0
2025-10-20,Cable Overhead Triceps Extension,Triceps,3,8.333333333333334,20.0,27.326,7.0,46.24125,6.666666666666667
2025-11-03,Cable Overhead Triceps Extension,Triceps,3,7.0,30.0,37.992,14.0,27.326,8.333333333333334
2025-11-11,Cable Overhead Triceps Extension,Triceps,3,8.0,27.5,36.6575,8.0,37.992,7.0
2025-11-18,Cable Overhead Triceps Extension,Triceps,3,5.666666666666667,30.0,34.84320557491289,7.0,36.6575,8.0
2025-12-04,Cable Overhead Triceps Extension,Triceps,5,6.8,30.0,39.99,16.0,34.84320557491289,5.666666666666667
2025-12-12,Cable Overhead Triceps Extension,Triceps,4,5.25,35.0,44.324,8.0,39.99,6.8
2026-03-04,Cable Overhead Triceps Extension,Triceps,3,12.0,25.0,33.849620877752535,82.0,44.324,5.25
2026-03-08,Cable Overhead Triceps Extension,Triceps,5,3.6,30.0,34.84320557491289,4.0,33.849620877752535,12.0
2026-03-22,Cable Overhead Triceps Extension,Triceps,5,5.6,25.0,33.324999999999996,14.0,34.84320557491289,3.6
2025-04-11,Dumbbell Curl,Biceps,3,6.666666666666667,25.0,34.1575,14.0,34.1575,8.0
2025-08-25,Dumbbell Curl,Biceps,3,4.333333333333333,25.0,28.127812781278127,136.0,34.1575,6.666666666666667
2025-09-05,Dumbbell Curl,Biceps,3,5.333333333333333,25.0,31.66,11.0,28.127812781278127,4.333333333333333
2025-09-08,Dumbbell Curl,Biceps,3,4.666666666666667,25.0,31.66,3.0,31.66,5.333333333333333
2025-09-22,Dumbbell Curl,Biceps,3,2.6666666666666665,25.0,28.127812781278127,14.0,31.66,4.666666666666667
2025-09-26,Dumbbell Curl,Biceps,3,4.0,25.0,30.8275,4.0,28.127812781278127,2.6666666666666665
2025-09-29,Dumbbell Curl,Biceps,3,4.0,25.0,30.8275,3.0,30.8275,4.0
2025-10-02,Dumbbell Curl,Biceps,3,8.0,20.0,26.66,3.0,30.8275,4.0
2025-10-06,Dumbbell Curl,Biceps,3,10.0,20.0,27.07969670220203,4.0,26.66,8.0
2025-10-30,Dumbbell Curl,Biceps,2,4.0,25.0,29.036004645760745,24.0,27.07969670220203,10.0
2025-11-07,Dumbbell Curl,Biceps,2,4.5,25.0,30.8275,8.0,29.036004645760745,4.0
2025-11-13,Dumbbell Curl,Biceps,3,5.666666666666667,25.0,31.66,6.0,30.8275,4.5
2025-12-01,Dumbbell Curl,Biceps,3,6.666666666666667,25.0,31.66,18.0,31.66,5.666666666666667
2025-12-04,Dumbbell Curl,Biceps,5,6.4,25.0,33.324999999999996,3.0,31.66,6.666666666666667
2025-12-12,Dumbbell Curl,Biceps,3,8.0,25.0,33.324999999999996,8.0,33.324999999999996,6.4
2026-03-05,Dumbbell Curl,Biceps,3,6.333333333333333,25.0,29.036004645760745,83.0,33.324999999999996,8.0
2026-03-10,Dumbbell Curl,Biceps,3,6.0,25.0,32.4925,5.0,29.036004645760745,6.333333333333333
2026-04-01,Dumbbell Curl,Biceps,3,5.333333333333333,25.0,31.66,22.0,32.4925,6.0
2025-12-17,EZ-Bar Reverse Curl,Arms,3,6.333333333333333,45.0,56.988,14.0,56.988,8.0
2025-12-22,EZ-Bar Reverse Curl,Arms,3,6.333333333333333,45.0,59.985,5.0,56.988,6.333333333333333
2026-03-10,EZ-Bar Reverse Curl,Arms,3,4.666666666666667,30.0,34.84320557491289,78.0,59.985,6.333333333333333
2026-04-01,EZ-Bar Reverse Curl,Arms,3,4.0,30.0,33.753375337533754,22.0,34.84320557491289,4.666666666666667
2025-08-25,Flat Barbell Bench Press,Chest,3,5.333333333333333,95.0,120.30799999999999,14.0,120.30799999999999,8.0
2025-09-05,Flat Barbell Bench Press,Chest,4,3.5,95.0,103.64390137464542,11.0,120.30799999999999,5.333333333333333
2025-09-08,Flat Barbell Bench Press,Chest,4,4.25,105.0,118.13681368136814,3.0,103.64390137464542,3.5
2025-09-22,Flat Barbell Bench Press,Chest,3,5.0,105.0,121.95121951219512,14.0,118.13681368136814,4.25
2025-09-26,Flat Barbell Bench Press,Chest,5,3.6,105.0,114.55378572987125,4.0,121.95121951219512,5.0
2025-09-29,Flat Barbell Bench Press,Chest,3,5.666666666666667,105.0,132.972,3.0,114.55378572987125,3.6
2025-10-02,Flat Barbell Bench Press,Chest,3,6.0,105.0,132.972,3.0,132.972,5.666666666666667
2025-10-08,Flat Barbell Bench Press,Chest,3,6.0,105.0,132.972,6.0,132.972,6.0
2025-10-20,Flat Barbell Bench Press,Chest,3,4.666666666666667,105.0,121.95121951219512,12.0,132.972,6.0
2025-10-30,Flat Barbell Bench Press,Chest,3,6.333333333333333,105.0,132.972,10.0,121.95121951219512,4.666666666666667
2025-11-07,Flat Barbell Bench Press,Chest,3,6.333333333333333,105.0,132.972,8.0,132.972,6.333333333333333
2025-11-13,Flat Barbell Bench Press,Chest,3,7.0,105.0,132.972,6.0,132.972,6.333333333333333
2025-11-18,Flat Barbell Bench Press,Chest,3,7.333333333333333,105.0,136.4685,5.0,132.972,7.0
